Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5",0805,2,0.1uF,
"C2, C3",1206,2,4.7uF,
"C6, C7",0603,2,18pF,
D1,D_SOD-323,1,TB6612FNG,
J5,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"J6, J7",PinHeader_1x13_P2.54mm_Vertical,2,Conn_01x13_Pin,
J8,USB_Mini-B_Lumberg_2486_01_Horizontal,1,USB_B_Mini,
"LED0, PWR1",0603,2,LED,
"R1, R6",0805,2,10k,
"R2, R5",0805,2,2k2,
"R3, R4",0805,2,200R,
"RESET1, SW0",SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,2,SW_Push,
U1,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,1,CH340K,
U3,SOT-223_DIO,1,AP2114HA-3.3TRG1,
U4,TSSOP-20_4.4x6.5mm_P0.65mm,1,py32f030f18p6,
Y1,CDFN-4_2.5x3.2mm_P2.1mm,1,16Mhz Crystal,
